Year,Semester,Academic Year,CRN,Subject ,Course,Course Type,Credits,Title,Cap,Act,Instructor,Contact Hours,Faculty Type
2017,Fall,2017-2018,31033,CSIS,120,CS,0,Intro to Software Dev - Lab,16,14,Sharon A. Small (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30466,CSIS,120,CS,0,Intro to Software Dev - Lab,16,14,Sharon A. Small (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,31032,CSIS,120,CS,4,Intro to Software Development,32,28,Sharon A. Small (P),3.0,Tenure/Tenure Track
2017,Fall,2017-2018,34090,CSIS,200,IS,3,Intro to CyberSecurity,24,17,John J. Armitage (P),3.0,FT Visitor/Teaching
2017,Fall,2017-2018,33871,CSIS,200,IS,3,Software tools for Physicists,36,35,Matthew Bellis (P),3.0,Tenure/Tenure Track
2017,Fall,2017-2018,34294,CSIS,210,CS,0,Data Structures-Lab,16,8,James D. Teresco (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30116,CSIS,210,CS,0,Data Structures-Lab,16,16,James D. Teresco (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,30115,CSIS,210,CS,3,Data Structures,24,24,James D. Teresco (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,32869,CSIS,210,CS,0,Data Structures - Lab,16,12,Robert C. Yoder (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,33651,CSIS,210,CS,0,Data Structures-Lab,16,12,Robert C. Yoder (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,32868,CSIS,210,CS,3,Data Structures,32,24,Robert C. Yoder (P),2.0,Tenure/Tenure Track
2017,Fall,2017-2018,33090,CSIS,220,CS,0,Assembly Lang and Comp Arc-Lab,16,8,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30192,CSIS,220,CS,0,Assembly Lang and Comp Arc-Lab,16,10,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,30193,CSIS,220,CS,0,Assembly Lang and Comp Arc-Lab,16,16,Daniel J. DiTursi (P),2.0,FT Visitor/Teaching
2017,Fall,2017-2018,33089,CSIS,220,CS,4,Assembly Lang and Comp Archtcr,24,13,Daniel J. DiTursi (P),3.0,FT Visitor/Teaching
2017,Fall,2017-2018,30117,CSIS,220,CS,4,Assembly Lang and Comp Archtcr,24,21,Daniel J. DiTursi (P),3.0,FT Visitor/Teaching
2017,Fall,2017-2018,30917,CSIS,251,CS,0,Discrete Structures-Lab,18,18,James R. Matthews (P),1.5,Tenure/Tenure Track
